DlangUI log file
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft Tai Le)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(SansSerif,Microsoft YaHei UI Light)
2026-03-18 23:38:20.695 D  registerFont(Cursive,Microsoft Yi Baiti)
2026-03-18 23:38:20.695 D  registerFont(Serif,MingLiU-ExtB)
2026-03-18 23:38:20.695 D  registerFont(Serif,MingLiU-ExtB)
2026-03-18 23:38:20.695 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Serif,PMingLiU-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Serif,MingLiU_HKSCS-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Serif,MingLiU_MSCS-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Serif,MingLiU_MSCS-ExtB)
2026-03-18 23:38:20.696 D  registerFont(Cursive,Mongolian Baiti)
2026-03-18 23:38:20.696 D  registerFont(MonoSpace,MS Gothic)
